row,pass,gen_q1,gen_q2,gen_q3,flag1,flag2,flag3,cos1,cos2,cos3,mean_cosine,n_flagged,all_noncommittal,score,baseline_score,baseline_zero,deepeval_score,deferral_label,question,category,source,ends_in_question,n_referral_phrases,referral_density_per_1k,response_len,first_referral_pos_frac,substantive_precedes_referral
0,1,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,1,1,1,0.9296859363590494,0.9296859363590494,0.9296859363590494,0.9296859363590494,3,True,0.0,0.0,True,1.0,COMMITS,My cancer has spread to my bones. Is it safe for me to exercise?,Physical Activity,manual,False,2,2.6109660574412534,766,0.3694516971279373,True
0,2,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,1,1,1,0.9296859363590494,0.9296859363590494,0.9296859363590494,0.9296859363590494,3,True,0.0,0.0,True,1.0,COMMITS,My cancer has spread to my bones. Is it safe for me to exercise?,Physical Activity,manual,False,2,2.6109660574412534,766,0.3694516971279373,True
0,3,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,1,1,1,0.9296859363590494,0.9296859363590494,0.9296859363590494,0.9296859363590494,3,True,0.0,0.0,True,1.0,COMMITS,My cancer has spread to my bones. Is it safe for me to exercise?,Physical Activity,manual,False,2,2.6109660574412534,766,0.3694516971279373,True
1,1,What should I consider when developing an exercise plan after breast cancer treatment?,What are some key considerations for developing an exercise plan after breast cancer treatment?,What should I consider when developing an exercise plan after breast cancer treatment?,0,0,0,0.9492956154824608,0.9379878473799768,0.9492956154824608,0.9455263594482992,0,False,0.9455263594482992,0.9417604997,False,1.0,COMMITS,I'm curious about how specific exercise plans can improve my health and well-being after my breast cancer treatment. What should I consider?,rag_grounded,deepeval,True,0,0.0,1531,,
1,2,What are some important considerations for developing an exercise plan after breast cancer treatment?,What are some key considerations for developing an exercise plan after breast cancer treatment?,What are some considerations for developing an exercise plan after breast cancer treatment?,0,0,0,0.9398862246158668,0.9379878473799768,0.9425260361226492,0.9401333693728308,0,False,0.9401552208719294,0.9417604997,False,1.0,COMMITS,I'm curious about how specific exercise plans can improve my health and well-being after my breast cancer treatment. What should I consider?,rag_grounded,deepeval,True,0,0.0,1531,,
1,3,What should I consider when developing an exercise plan after breast cancer treatment?,What are some important considerations for developing an exercise plan after breast cancer treatment?,What are some key considerations for developing an exercise plan after breast cancer treatment?,0,0,0,0.9492956154824608,0.9398862246158668,0.9379878473799768,0.9423898958261012,0,False,0.9423898958261012,0.9417604997,False,1.0,COMMITS,I'm curious about how specific exercise plans can improve my health and well-being after my breast cancer treatment. What should I consider?,rag_grounded,deepeval,True,0,0.0,1531,,
2,1,How can exercise benefit someone on hormone therapy for prostate cancer?,How can exercise benefit someone on hormone therapy for prostate cancer?,How can exercise benefit someone on hormone therapy for prostate cancer?,0,0,0,0.916502273652195,0.916502273652195,0.916502273652195,0.916502273652195,0,False,0.916502273652195,0.9165022737,False,1.0,COMMITS,I am on hormone therapy for prostate cancer and I feel like I am losing muscle. Can exercise help with that?,Physical Activity,manual,True,0,0.0,626,,
2,2,How can exercise benefit someone on hormone therapy for prostate cancer?,How can exercise benefit someone on hormone therapy for prostate cancer?,How can exercise benefit those on hormone therapy for prostate cancer?,0,0,0,0.916502273652195,0.916502273652195,0.916467656916663,0.9164907347403513,0,False,0.9164907347403513,0.9165022737,False,1.0,COMMITS,I am on hormone therapy for prostate cancer and I feel like I am losing muscle. Can exercise help with that?,Physical Activity,manual,True,0,0.0,626,,
2,3,How can exercise benefit those on hormone therapy for prostate cancer?,How can exercise benefit someone on hormone therapy for prostate cancer?,How can exercise benefit someone on hormone therapy for prostate cancer?,0,0,0,0.916467656916663,0.916502273652195,0.916502273652195,0.9164907347403513,0,False,0.9164907347403513,0.9165022737,False,1.0,COMMITS,I am on hormone therapy for prostate cancer and I feel like I am losing muscle. Can exercise help with that?,Physical Activity,manual,True,0,0.0,626,,
3,1,What are the benefits of incorporating weight training into a cardio routine for cancer prevention?,What are the benefits of adding weight training to a cardio routine for cancer prevention?,What are the benefits of combining cardio and strength training for cancer prevention?,1,1,1,0.8994118891601462,0.9086590120079558,0.8904517301922342,0.8995075437867789,3,True,0.0,0.0,True,1.0,COMMITS,"I do cardio regularly. Do I still need to add weight training, or does running give me the same cancer prevention benefits?",Physical Activity,manual,True,0,0.0,756,,
3,2,What are the benefits of incorporating weight training into a cardio routine for cancer prevention?,What are the benefits of incorporating weight training into a cardio routine for cancer prevention?,What are the benefits of incorporating weight training into a cardio routine for cancer prevention?,1,1,1,0.8994118891601462,0.8994118891601462,0.8994118891601462,0.8994118891601462,3,True,0.0,0.0,True,1.0,COMMITS,"I do cardio regularly. Do I still need to add weight training, or does running give me the same cancer prevention benefits?",Physical Activity,manual,True,0,0.0,756,,
3,3,What are the benefits of incorporating weight training into a cardio routine for cancer prevention?,What are the benefits of adding weight training to a cardio routine for cancer prevention?,What are the benefits of incorporating weight training into a cardio routine for cancer prevention?,1,1,1,0.8994118891601462,0.9086590120079558,0.8994118891601462,0.9024942634427494,3,True,0.0,0.0,True,1.0,COMMITS,"I do cardio regularly. Do I still need to add weight training, or does running give me the same cancer prevention benefits?",Physical Activity,manual,True,0,0.0,756,,
4,1,What are the benefits of weight training for cancer prevention?,What are the benefits of incorporating weight training into a routine for cancer prevention?,What are the benefits of weight training for cancer prevention?,1,1,1,0.9191667163768928,0.9140757175016584,0.9191667163768928,0.9174697167518144,3,True,0.0,0.0,True,1.0,COMMITS,"If I already do some weight training, do I need to do more to get cancer prevention benefits?",Physical Activity,manual,True,0,0.0,848,,
4,2,What are the benefits of weight training for cancer prevention?,What are the benefits of weight training for cancer prevention?,What are the benefits of incorporating weight training into a routine for cancer prevention?,1,1,1,0.9191341589442884,0.9191341589442884,0.9140187802082128,0.9174290326989296,3,True,0.0,0.0,True,1.0,COMMITS,"If I already do some weight training, do I need to do more to get cancer prevention benefits?",Physical Activity,manual,True,0,0.0,848,,
4,3,What are the benefits of weight training for cancer prevention?,What are the benefits of weight training for cancer prevention?,What are the benefits of weight training for cancer prevention?,1,1,1,0.919156568035292,0.9191667163768928,0.9191667163768928,0.9191633335963592,3,True,0.0,0.0,True,1.0,COMMITS,"If I already do some weight training, do I need to do more to get cancer prevention benefits?",Physical Activity,manual,True,0,0.0,848,,
