row,baseline_score,baseline_zero,deepeval,n_passes_all_noncommittal,mean_score,mean_cosine,total_flags,deferral_label,ends_in_question,referral_density,question,category,reprobe_p_zero,reprobe_per_question_flag_rate,baseline_nonzero,reprobe_flagged_1plus_of3,reprobe_flagged_3of3
0,0.0,True,1.0,3,0.0,0.9296859363590494,9,COMMITS,False,2.6109660574412534,My cancer has spread to my bones. Is it safe for me to exercise?,Physical Activity,1.0,1.0,False,True,True
1,0.9417604997,False,1.0,0,0.9426904920487766,0.9426832082157438,0,COMMITS,True,0.0,I'm curious about how specific exercise plans can improve my health and well-being after my breast cancer treatment. What should I consider?,rag_grounded,0.0,0.0,True,False,False
2,0.9165022737,False,1.0,0,0.9164945810442992,0.9164945810442992,0,COMMITS,True,0.0,I am on hormone therapy for prostate cancer and I feel like I am losing muscle. Can exercise help with that?,Physical Activity,0.0,0.0,True,False,False
3,0.0,True,1.0,3,0.0,0.9004712321298914,9,COMMITS,True,0.0,"I do cardio regularly. Do I still need to add weight training, or does running give me the same cancer prevention benefits?",Physical Activity,1.0,1.0,False,True,True
4,0.0,True,1.0,3,0.0,0.9180206943490344,9,COMMITS,True,0.0,"If I already do some weight training, do I need to do more to get cancer prevention benefits?",Physical Activity,1.0,1.0,False,True,True
5,0.0,True,1.0,3,0.0,0.7876279978603096,9,COMMITS,False,0.0,Why do you ask me so many questions before giving me a goal? Can't you just tell me what to do?,SMART Goal,1.0,1.0,False,True,True
6,0.8622799348,False,1.0,0,0.8545570527223224,0.8545570527223224,0,COMMITS,True,0.0,I barely feel like moving some days. Is there any point in doing a little exercise?,Physical Activity,0.0,0.0,True,False,False
7,0.9425010779,False,1.0,0,0.94482121200109,0.9448113224015344,0,COMMITS,True,0.0,I feel stiff and my joints ache after cancer treatment. What kind of stretching should I be doing?,Physical Activity,0.0,0.0,True,False,False
8,0.9414509586,False,1.0,0,0.9413563378639483,0.9413634077711514,0,COMMITS,True,0.0,"I'm curious about how my weight and exercise habits can affect my heart health, especially after my cancer treatment. Can you help me understand this better?",rag_grounded,0.0,0.0,True,False,False
9,0.9255312112,False,1.0,0,0.9314450964507356,0.9314287294818517,1,COMMITS,True,0.0,I'm feeling a bit overwhelmed with all the health advice out there. Can you help me set some realistic physical activity goals that fit my current level and the time I have available?,rag_grounded,0.0,0.1111111111111111,True,False,False
10,0.9268518609,False,1.0,0,0.9226935648423017,0.9227284112281424,0,COMMITS,False,1.2836970474967908,"As a cancer survivor, what should I keep in mind about my heart health and staying safe while exercising?",rag_grounded,0.0,0.0,True,False,False
11,0.0,True,1.0,1,0.6487958269396114,0.9731801451996343,6,COMMITS,True,0.0,What are some easy ways I can stay active and manage stress while dealing with my cancer treatment?,rag_grounded,0.3333333333333333,0.6666666666666666,False,True,False
12,0.9783653873,False,1.0,0,0.9878204728665686,0.9878155464485697,0,COMMITS,True,0.0,Will exercise improve my quality of life after a cancer diagnosis?,Physical Activity,0.0,0.0,True,False,False
13,0.9755450265,False,1.0,0,0.9759920209336536,0.9759913594387365,0,COMMITS,False,0.0,Can an app actually help me set and stick to health goals?,SMART Goal,0.0,0.0,True,False,False
14,0.0,True,1.0,3,0.0,0.9220491131855421,9,COMMITS,True,0.0,I have not exercised in years and just finished cancer treatment. Where do I even start?,Physical Activity,1.0,1.0,False,True,True
15,0.9175402925,False,1.0,0,0.917540292493174,0.917540292493174,0,COMMITS,True,0.0,I feel really stiff after my cancer treatment. Would stretching help?,Physical Activity,0.0,0.0,True,False,False
16,0.0,True,1.0,3,0.0,0.9001248235810327,9,COMMITS,False,0.0,I just read that increasing my physical activity could significantly lower my cancer mortality risk. How can I safely incorporate more exercise into my routine?,rag_grounded,1.0,1.0,False,True,True
17,0.0,True,1.0,0,0.9230620160483919,0.9230620160483919,3,COMMITS,True,0.0,What are some simple ways I can start moving more each day without feeling overwhelmed?,rag_grounded,0.0,0.3333333333333333,False,False,False
18,0.0,True,1.0,3,0.0,0.8257583301941489,9,COMMITS,True,1.2062726176115803,My doctor has never talked to me about diet or exercise. Is that normal?,Cancer & Survivorship Education,1.0,1.0,False,True,True
19,0.0,True,1.0,3,0.0,0.8561498108645976,9,COMMITS,True,0.0,I am at a healthy weight. Is weight management still something I need to think about?,BMI,1.0,1.0,False,True,True
20,0.9286176343,False,1.0,0,0.9272651606007599,0.9272756338667314,0,COMMITS,True,0.0,"What are some simple ways I can set exercise goals that I can actually stick to, especially while managing my health?",rag_grounded,0.0,0.0,True,False,False
21,0.9122446758,False,1.0,0,0.9113242440243674,0.9113242440243674,0,COMMITS,True,1.984126984126984,I am 72 and just finished cancer treatment. Is exercise still safe for me at my age?,Physical Activity,0.0,0.0,True,False,False
22,0.0,True,1.0,3,0.0,0.9217037581982813,9,COMMITS,True,0.0,Should I join a gym with a trainer or can I exercise at home on my own?,Physical Activity,1.0,1.0,False,True,True
23,0.0,True,1.0,3,0.0,0.9359352665267231,9,COMMITS,True,1.0917030567685588,"I've heard about bone scans for cancer, but can you explain what they are and if they relate to my heart health or exercise routine?",rag_grounded,1.0,1.0,False,True,True
24,0.9796062476,False,1.0,0,0.9795794552784193,0.9795867180688678,0,COMMITS,False,0.0,How can I encourage my child to eat more fruits and vegetables as part of a healthy diet?,rag_grounded,0.0,0.0,True,False,False
25,0.9447266809,False,1.0,0,0.9377626060055407,0.9377714482421485,0,COMMITS,False,1.7889087656529514,"Right after my diagnosis, should I be seeing a nutritionist?",Diet,0.0,0.0,True,False,False
26,0.9175780037,False,1.0,0,0.9176377487596078,0.9176267857242291,0,COMMITS,True,0.0,I sit at a desk all day for work. Does that put me at higher cancer risk even if I exercise after work?,Physical Activity,0.0,0.0,True,False,False
27,0.0,True,1.0,3,0.0,0.9020243228150902,9,COMMITS,True,1.1402508551881414,My prostate cancer has spread to my bones. Is it safe for me to lift weights?,Physical Activity,1.0,1.0,False,True,True
28,0.0,True,1.0,3,0.0,0.8502615364438154,9,COMMITS,True,1.050420168067227,I had breast cancer. Is it safe to lift weights or will it cause lymphedema in my arm?,Physical Activity,1.0,1.0,False,True,True
29,0.9611841102,False,1.0,0,0.9672738435729581,0.9672626490295634,0,COMMITS,True,0.0,Will lifting weights help with my depression since my cancer diagnosis?,Physical Activity,0.0,0.0,True,False,False
30,0.9610435385,False,1.0,0,0.9575616802123824,0.9575587003418589,0,COMMITS,False,0.0,Is it useful for a health app to ask me to reflect on my progress?,SMART Goal,0.0,0.0,True,False,False
31,0.9488235124,False,1.0,0,0.9510104842226662,0.9509994519498325,1,COMMITS,True,1.5015015015015014,Is it safe for me to exercise during or after cancer treatment?,Physical Activity,0.0,0.1111111111111111,True,False,False
32,0.9461450933,False,1.0,0,0.9396646487037875,0.9396646487037873,3,COMMITS,True,0.0,"Does the benefit of exercise for cancer risk apply no matter my age, race, or weight?",Physical Activity,0.0,0.3333333333333333,True,False,False
33,0.0,True,1.0,3,0.0,0.8719001828662393,9,COMMITS,True,0.0,I get so tired after treatment. Will exercising make my fatigue worse or better?,Physical Activity,1.0,1.0,False,True,True
34,0.0,True,1.0,3,0.0,0.9269361148599025,9,COMMITS,True,2.6143790849673203,I am worried that exercising will hurt my cancer treatment. Could working out interfere with my therapy?,Physical Activity,1.0,1.0,False,True,True
35,0.8993395823,False,1.0,0,0.9037879027805985,0.9037848141321887,0,COMMITS,True,0.0,I heard that exercise can actually help with treatment side effects. Is that true?,Physical Activity,0.0,0.0,True,False,False
36,0.9503899593,False,1.0,0,0.949462700331888,0.9495054755406045,0,COMMITS,True,0.0,I have prostate cancer and had surgery. Can exercise help me recover?,Physical Activity,0.0,0.0,True,False,False
37,0.0,True,1.0,3,0.0,0.9043556735895354,9,COMMITS,False,2.73224043715847,I was just diagnosed with early-stage prostate cancer. Does that mean I need treatment right away?,Cancer & Survivorship Education,1.0,1.0,False,True,True
38,0.0,True,1.0,3,0.0,0.9409814173895036,9,COMMITS,True,1.5151515151515151,Should I drink alcohol at all as a cancer survivor?,Diet,1.0,1.0,False,True,True
39,0.0,True,1.0,3,0.0,0.9726437846188604,9,COMMITS,True,1.7985611510791366,What types of physical activities should I focus on to improve my heart health after finishing cancer treatment?,rag_grounded,1.0,1.0,False,True,True
40,0.9016723074,False,1.0,0,0.8923365236440467,0.8923247768499509,3,COMMITS,True,0.0,I've heard that high-dose dietary supplements aren't recommended for cancer prevention. What are some dietary alternatives I should focus on for better health?,rag_grounded,0.0,0.3333333333333333,True,False,False
41,0.0,True,1.0,3,0.0,0.944963879899082,9,COMMITS,True,2.076843198338526,I have numbness and tingling in my feet from chemo. Are there exercises I should avoid?,Physical Activity,1.0,1.0,False,True,True
42,0.0,True,1.0,0,0.9414119988508384,0.9413890355246632,6,COMMITS,True,1.443001443001443,I'm really concerned about how my prostate cancer treatments might affect my heart health. What can I do to stay healthy while managing my condition?,rag_grounded,0.0,0.6666666666666666,False,False,False
43,0.9699936201,False,1.0,0,0.9698475559378714,0.9698442850655317,0,COMMITS,False,0.0,"What qualifications should the person helping me exercise have, given that I am an older cancer survivor?",Physical Activity,0.0,0.0,True,False,False
44,0.9457041926,False,1.0,0,0.9505667007060116,0.950577802126412,0,COMMITS,True,0.0,I have neuropathy from chemo and balance problems. What kinds of exercise are recommended for me?,Physical Activity,0.0,0.0,True,False,False
45,0.0,True,1.0,3,0.0,0.9383477680860217,9,COMMITS,True,0.0,What are some practical ways I can reduce my sitting time while going through treatment?,rag_grounded,1.0,1.0,False,True,True
46,0.9442508269,False,1.0,0,0.9447568211193788,0.9449189198375011,0,COMMITS,True,0.0,How does exercise protect my heart as a cancer survivor?,Cancer & Survivorship Education,0.0,0.0,True,False,False
47,0.0,True,1.0,3,0.0,0.8579684582850834,9,COMMITS,True,1.30718954248366,I'm curious about how exercise can help me recover during and after my cancer treatment. Are there specific types of exercises that are better for different cancer types?,rag_grounded,1.0,1.0,False,True,True
48,0.0,True,1.0,3,0.0,0.9052363187874057,9,COMMITS,True,0.0,I'm curious about how my BMI affects my heart health after cancer treatment. Is it more important than other factors like my age or whether I smoke?,rag_grounded,1.0,1.0,False,True,True
49,0.9085134771,False,1.0,0,0.8956354306403856,0.8956319125224391,0,COMMITS,False,0.0,My memory has not been the same since chemotherapy. How should my exercise program account for this?,Physical Activity,0.0,0.0,True,False,False
50,0.9879184541,False,1.0,0,0.9879184540620568,0.9879567840377242,1,COMMITS,True,0.0,What are some fiber-rich plant foods I can include in my diet to support my heart health?,rag_grounded,0.0,0.1111111111111111,True,False,False
51,0.0,True,1.0,3,0.0,0.8799489886632149,9,COMMITS,False,1.038421599169263,I'm worried about how a biopsy might affect my overall health and recovery. Can you help me understand what to expect in terms of sedation and any impacts on my well-being?,rag_grounded,1.0,1.0,False,True,True
52,0.9379610197,False,1.0,0,0.9379610196798532,0.9379711945718109,0,COMMITS,False,1.1325028312570782,I have prostate cancer and my doctor mentioned heart health. Why does my cancer affect my heart?,Cancer & Survivorship Education,0.0,0.0,True,False,False
53,0.9268101508,False,1.0,0,0.9324947140368712,0.9324571308283255,0,COMMITS,False,0.0,I'm curious about how moderate-intensity activities stack up against vigorous-intensity activities when it comes to keeping my heart healthy. Can you help me understand the differences?,rag_grounded,0.0,0.0,True,False,False
54,0.9346695582,False,1.0,0,0.9303660518936475,0.9303358261733029,0,COMMITS,True,0.0,I've heard that exercise can really help cancer survivors. Can you explain how it improves physical functioning and overall quality of life?,rag_grounded,0.0,0.0,True,False,False
55,0.9227633292,False,1.0,0,0.9329256113745189,0.9329294159264169,0,COMMITS,True,0.0,How does a health app track things like sleep and physical activity goals?,LE8 Composite,0.0,0.0,True,False,False
56,0.8962411423,False,1.0,0,0.8946794594759373,0.8946576283218347,3,COMMITS,True,0.0,"I've been trying to reduce my screen time, but I'm not sure how to increase my physical activity levels. What are some effective ways I can do this?",rag_grounded,0.0,0.3333333333333333,True,False,False
57,0.0,True,1.0,3,0.0,0.9476990874772567,9,COMMITS,True,2.157497303128371,What kinds of exercise are best for cancer survivors — cardio or weights?,Physical Activity,1.0,1.0,False,True,True
58,0.9873449409,False,1.0,0,0.9851417139092229,0.9851458947963573,0,COMMITS,False,2.0100502512562812,Are the physical activity recommendations for cancer survivors different from the general adult guidelines?,Physical Activity,0.0,0.0,True,False,False
59,0.9434996712,False,1.0,0,0.9434996711791795,0.9434848410158448,0,COMMITS,True,2.4154589371980677,I have prostate cancer and am on hormone therapy. Will exercise help my body composition?,Physical Activity,0.0,0.0,True,False,False
60,0.9250047976,False,1.0,0,0.9250047976328633,0.9250032194116828,0,COMMITS,False,1.779359430604982,What does it mean if my prostate cancer is described as localized?,Cancer & Survivorship Education,0.0,0.0,True,False,False
61,0.9616656869,False,1.0,0,0.9616656868794312,0.9616656868794312,0,COMMITS,False,1.1198208286674132,Why does high blood pressure matter so much for someone with prostate cancer?,Blood Pressure,0.0,0.0,True,False,False
62,0.9680816893,False,1.0,0,0.959435652794404,0.959435652794404,0,COMMITS,True,0.0,How can I use a chatbot to help me stay motivated to exercise while I'm recovering from cancer?,rag_grounded,0.0,0.0,True,False,False
63,0.9193823518,False,1.0,0,0.9161729714622032,0.9161707730617349,0,COMMITS,False,2.1528525296017222,My doctor said my cholesterol relates to my heart-attack risk from prostate cancer treatment. How so?,Blood Lipids,0.0,0.0,True,False,False
64,0.9671279437,False,1.0,0,0.9671279436905366,0.9671279436905366,0,COMMITS,True,1.0476689366160292,"Given my family history of prostate cancer, what proactive steps can I take to maintain my cardiovascular health and overall well-being?",rag_grounded,0.0,0.0,True,False,False
65,0.9566690329,False,1.0,0,0.9566700338443841,0.9566690329020112,0,COMMITS,True,1.9267822736030829,What are some safe ways I can start strength training to help my heart health after finishing cancer treatment?,rag_grounded,0.0,0.0,True,False,False
66,0.9488100326,False,1.0,0,0.9428162394967631,0.9428211779523717,0,COMMITS,True,0.0,I have been told I am at risk for metabolic syndrome after my cancer treatment. Can lifestyle changes help?,Cancer & Survivorship Education,0.0,0.0,True,False,False
67,0.8598512512,False,1.0,0,0.8776406704992752,0.8776357425692676,0,COMMITS,True,0.0,I am an older cancer survivor and I have been falling more lately. Can exercise help with that?,Physical Activity,0.0,0.0,True,False,False
68,0.0,True,1.0,2,0.3140075252203757,0.9399452507475069,8,COMMITS,True,0.0,I finished breast cancer treatment and had surgery. My shoulder feels stiff. Can exercise help?,Physical Activity,0.6666666666666666,0.8888888888888888,False,True,False
69,0.9380732779,False,1.0,0,0.9380686237869552,0.9380707265767855,0,COMMITS,True,1.2391573729863692,I've heard that weight training can help with recovery after cancer treatment. Can you tell me more about how it might benefit my overall health and if I should include it in my exercise routine?,rag_grounded,0.0,0.0,True,False,False
70,0.0,True,1.0,3,0.0,0.8746447825051167,9,COMMITS,True,0.0,I gained a lot of weight during chemotherapy. Can I use exercise to lose it?,BMI,1.0,1.0,False,True,True
71,0.9578410816,False,1.0,0,0.9642464392061063,0.964272449588674,0,COMMITS,True,0.651890482398957,I've heard that personalized nutrition based on DNA can help with making better food choices. How can I use this information to improve my diet for better heart health?,rag_grounded,0.0,0.0,True,False,False
72,0.9681761304,False,1.0,0,0.9685326609936769,0.9685328072082805,0,COMMITS,True,0.0,What are some strategies I can use to stay positive while learning about my risk factors and managing stress in my daily life?,rag_grounded,0.0,0.0,True,False,False
73,0.9076493196,False,1.0,1,0.6064389984955662,0.908712045250283,7,COMMITS,True,0.0,I'm really interested in how I can set realistic cardiovascular health goals while managing my cancer recovery. Can you help me with that?,rag_grounded,0.3333333333333333,0.7777777777777778,True,True,False
74,0.0,True,1.0,3,0.0,0.9857993914644192,9,COMMITS,False,0.0,What are some personal goals I can set to improve my heart health while managing my cancer treatment?,rag_grounded,1.0,1.0,False,True,True
75,0.9221277067,False,1.0,0,0.9219749678356569,0.9219749678356569,0,COMMITS,True,0.6738544474393531,"I'm curious about what kind of resistance exercises I should focus on to build strength after my prostate cancer treatment. How much should I be doing in terms of type, volume, and intensity?",rag_grounded,0.0,0.0,True,False,False
76,0.9237800954,False,1.0,0,0.9206865543590333,0.9206668350455836,0,COMMITS,True,0.0,I've been reading about the connection between obesity and cancer. Can you help me understand how maintaining a healthy weight might impact my cancer risk and overall health?,rag_grounded,0.0,0.0,True,False,False
77,0.8937965511,False,1.0,0,0.893810977116197,0.8937965511100909,0,COMMITS,True,0.0,"I've heard that low-dosage resistance training can help with my overall health and body composition. Can you explain how it might benefit me, especially considering my situation?",rag_grounded,0.0,0.0,True,False,False
78,0.9231225293,False,1.0,1,0.6115855569029668,0.9192913679934774,4,COMMITS,False,0.0,I'm really worried about my heart health while going through cancer treatment. What exercises can I do to help protect my heart and feel better overall?,rag_grounded,0.3333333333333333,0.4444444444444444,True,True,False
79,0.904349106,False,1.0,2,0.30461833272021427,0.9156438891803056,8,COMMITS,True,0.0,I've been feeling really fatigued after my cancer treatment. Can you explain how exercise might help with that and what research backs it up?,rag_grounded,0.6666666666666666,0.8888888888888888,True,True,False
80,0.9452593104,False,1.0,0,0.9469710636313251,0.947053163734398,0,COMMITS,True,1.558846453624318,"As a cancer survivor, I'm really worried about my heart health. What specific exercise guidelines should I focus on to stay healthy?",rag_grounded,0.0,0.0,True,False,False
81,0.8913542859,False,1.0,0,0.8913798435153857,0.8913751942349682,2,COMMITS,True,0.7462686567164178,"I've just finished my cancer treatment, and I'm curious about how exercise can help my heart health compared to other recovery methods. What should I know?",rag_grounded,0.0,0.2222222222222222,True,False,False
82,0.9368023783,False,1.0,0,0.9368126606302511,0.9368088921430138,0,COMMITS,True,0.6060606060606061,What specific dietary changes can I make to improve my recovery after my cancer diagnosis? I'm looking for ways to enhance my health outcomes through nutrition.,rag_grounded,0.0,0.0,True,False,False
83,0.9464272537,False,1.0,0,0.9464320433103545,0.9464795048394361,0,COMMITS,False,0.832639467110741,I had breast cancer. What shoulder assessment should I have before starting upper body exercises?,Physical Activity,0.0,0.0,True,False,False
84,0.0,True,1.0,3,0.0,0.875535075644244,9,COMMITS,True,0.0,"I'm curious about how my nutrition choices, like breastfeeding or formula feeding, might affect my child's health and immune system. Can you help me understand this better?",rag_grounded,1.0,1.0,False,True,True
85,0.0,True,1.0,3,0.0,0.9274151820476995,9,COMMITS,True,0.0,Should I cut out all sugar to reduce my cancer risk?,Diet,1.0,1.0,False,True,True
86,0.9398534132,False,1.0,0,0.9508115249290178,0.9508115249290178,0,COMMITS,False,1.818181818181818,What foods should I completely cut out after my cancer diagnosis?,Diet,0.0,0.0,True,False,False
87,0.961109518,False,1.0,0,0.9586326362491501,0.9586336344952026,0,COMMITS,False,1.467351430667645,What should I keep in mind about exercise safety as a cancer survivor compared to general exercise guidelines?,rag_grounded,0.0,0.0,True,False,False
88,0.9448756223,False,1.0,0,0.9448756223170274,0.9448480337090576,2,COMMITS,True,1.471670345842531,How can I figure out if my health goals align with what I really want and what I'm capable of achieving?,rag_grounded,0.0,0.2222222222222222,True,False,False
89,0.0,True,1.0,3,0.0,1.0,9,COMMITS,False,1.1750881316098707,Do the benefits of weight training for cancer risk differ between men and women?,Physical Activity,1.0,1.0,False,True,True
90,0.0,True,1.0,3,0.0,0.959483243643021,9,COMMITS,True,0.0,"I've heard that PSA levels can indicate prostate cancer risk, but how do they really affect my overall health and what should I focus on for my heart health instead?",rag_grounded,1.0,1.0,False,True,True
91,0.9484016651,False,1.0,0,0.944526535860537,0.9445286772054136,0,COMMITS,False,0.0,I'm curious about how aerobic exercises and strength training can both help my heart health. Can you explain the differences and benefits of each?,rag_grounded,0.0,0.0,True,False,False
92,0.0,True,1.0,1,0.6511230219856143,0.9769906712340015,6,COMMITS,True,0.0,What are some effective ways I can increase my fruit and vegetable intake while also managing my screen time better?,rag_grounded,0.3333333333333333,0.6666666666666666,False,True,False
93,0.9403874613,False,1.0,0,0.9403874613382412,0.9403874613382412,0,COMMITS,True,0.0,What are some effective ways I can set exercise goals that are both challenging and realistic for my current health situation?,rag_grounded,0.0,0.0,True,False,False
94,0.0,True,1.0,3,0.0,0.893941015803565,9,COMMITS,True,0.0,"Should I aim for specific exercise goals, like reaching 10,000 steps a day, or is it better to keep my goals more general?",rag_grounded,1.0,1.0,False,True,True
95,0.0,True,1.0,3,0.0,0.9246781604131957,9,COMMITS,False,1.183431952662722,My prostate cancer has spread regionally. What does treatment typically look like?,Cancer & Survivorship Education,1.0,1.0,False,True,True
96,0.0,True,1.0,3,0.0,0.9607250787696895,9,COMMITS,True,0.0,What are some ways I can stay motivated to exercise regularly while managing my health during treatment?,rag_grounded,1.0,1.0,False,True,True
97,0.0,True,1.0,3,0.0,0.9827657976348193,9,COMMITS,True,1.3192612137203166,Is it safe for me to start exercising now that I've completed my breast cancer treatment?,rag_grounded,1.0,1.0,False,True,True
