row,pass,gen_q1,gen_q2,gen_q3,flag1,flag2,flag3,cos1,cos2,cos3,mean_cosine,n_flagged,all_noncommittal,score,arm,arm_position,arm_contrast_per_1k,arm_empathy_per_1k,arm_referral_per_1k,arm_len,unablatable
0,1,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,1,1,1,0.9296007636143824,0.9296785182172428,0.9296664217232308,0.9296485678516185,3,True,0.0,-D,3,3.289473684210526,1.644736842105263,0.0,608,
0,2,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,1,1,1,0.9296859363590494,0.9296859363590494,0.9296859363590494,0.9296859363590494,3,True,0.0,-D,1,3.289473684210526,1.644736842105263,0.0,608,
0,3,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,1,1,1,0.9296859363590494,0.9296859363590494,0.9296859363590494,0.9296859363590494,3,True,0.0,-D,1,3.289473684210526,1.644736842105263,0.0,608,
0,1,Is exercise safe for cancer survivors with bone metastases?,Is exercise safe for cancer survivors with bone metastases?,Is exercise safe for cancer survivors with bone metastases?,1,1,1,0.9245248144008409,0.924514021353113,0.924514021353113,0.9245176190356889,3,True,0.0,-H,2,0.0,0.0,2.932551319648094,682,
0,2,Is exercise safe for cancer survivors with bone metastases?,Is exercise safe for cancer survivors with bone metastases?,Is exercise safe for cancer survivors with bone metastases?,1,1,1,0.9245434270472277,0.9245248144008409,0.9245248144008409,0.9245310186163032,3,True,0.0,-H,0,0.0,0.0,2.932551319648094,682,
0,3,Is exercise safe for cancer survivors with bone metastases?,Is exercise safe for cancer survivors with bone metastases?,Is exercise safe for cancer survivors with bone metastases?,1,1,1,0.9245248144008409,0.924564817590397,0.9245250898286632,0.9245382406066337,3,True,0.0,-H,2,0.0,0.0,2.932551319648094,682,
0,1,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,1,1,1,0.9296859363590494,0.9296859363590494,0.9296859363590494,0.9296859363590494,3,True,0.0,-Q-D,1,3.289473684210526,1.644736842105263,0.0,608,
0,2,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,1,1,1,0.9296859363590494,0.9296859363590494,0.9296859363590494,0.9296859363590494,3,True,0.0,-Q-D,3,3.289473684210526,1.644736842105263,0.0,608,
0,3,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,1,1,1,0.9296859363590494,0.9296859363590494,0.9296859363590494,0.9296859363590494,3,True,0.0,-Q-D,3,3.289473684210526,1.644736842105263,0.0,608,
0,1,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,1,1,1,0.9296859363590494,0.9296859363590494,0.9296859363590494,0.9296859363590494,3,True,0.0,control,0,2.6109660574412534,1.3054830287206267,2.6109660574412534,766,
