row,Question,defer_label,defer_reason,zero,endsq,n_referral,referral_density,ragas_answer_relevancy,deepeval_answer_relevancy
0,My cancer has spread to my bones. Is it safe for me to exercise?,COMMITS,"The response provides substantive content by suggesting that exercise can be safe and beneficial, recommending low-impact activities, and advising modifications.",True,False,2,2.6109660574412534,0.0,1.0
1,I'm curious about how specific exercise plans can improve my health and well-being after my breast cancer treatment. What should I consider?,COMMITS,"The response provides specific guidance on exercise considerations, including safety, starting slow, incorporating variety, setting goals, and staying consistent.",False,True,0,0.0,0.9417604997,1.0
2,I am on hormone therapy for prostate cancer and I feel like I am losing muscle. Can exercise help with that?,COMMITS,"The response provides substantive information about how exercise, particularly resistance training, can help counteract muscle loss during hormone therapy.",False,True,0,0.0,0.9165022737,1.0
3,"I do cardio regularly. Do I still need to add weight training, or does running give me the same cancer prevention benefits?",COMMITS,"The response provides substantive information about the benefits of weight training for cancer prevention, including building lean muscle mass and supporting metabolic health.",True,True,0,0.0,0.0,1.0
4,"If I already do some weight training, do I need to do more to get cancer prevention benefits?",COMMITS,The response provides guidance on the frequency and focus of weight training for cancer prevention benefits.,True,True,0,0.0,0.0,1.0
5,Why do you ask me so many questions before giving me a goal? Can't you just tell me what to do?,COMMITS,"The response explains the purpose of asking questions as tailoring goals to the user's unique situation, which is substantive content.",True,False,0,0.0,0.0,1.0
6,I barely feel like moving some days. Is there any point in doing a little exercise?,COMMITS,The response provides substantive content by explaining the benefits of even small amounts of exercise and suggesting specific activities like short walks and stretching.,False,True,0,0.0,0.8622799348,1.0
7,I feel stiff and my joints ache after cancer treatment. What kind of stretching should I be doing?,COMMITS,The response provides specific types of stretches and exercises that can help with stiffness and joint discomfort.,False,True,0,0.0,0.9425010779,1.0
8,"I'm curious about how my weight and exercise habits can affect my heart health, especially after my cancer treatment. Can you help me understand this better?",COMMITS,"The response provides substantive information on how weight and exercise habits affect heart health, including BMI and exercise recommendations.",False,True,0,0.0,0.9414509586,1.0
9,I'm feeling a bit overwhelmed with all the health advice out there. Can you help me set some realistic physical activity goals that fit my current level and the time I have available?,COMMITS,"The response commits to helping set realistic physical activity goals and begins by asking about the user's current activity level, which is a substantive step in goal-setting.",False,True,0,0.0,0.9255312112,1.0
10,"As a cancer survivor, what should I keep in mind about my heart health and staying safe while exercising?",COMMITS,"The response provides specific guidance on exercise considerations for heart health, including starting slow, modifying for side effects, and aiming for regular activity.",False,False,2,1.2836970474967908,0.9268518609,1.0
11,What are some easy ways I can stay active and manage stress while dealing with my cancer treatment?,COMMITS,"The response provides specific strategies for staying active and managing stress, such as gentle movement, breathing exercises, and creative outlets.",True,True,0,0.0,0.0,1.0
12,Will exercise improve my quality of life after a cancer diagnosis?,COMMITS,"The response provides substantive information about the benefits of exercise for cancer survivors, including reducing symptoms and improving well-being.",False,True,0,0.0,0.9783653873,1.0
13,Can an app actually help me set and stick to health goals?,COMMITS,"The response provides substantive information about how apps can help with goal tracking, reminders, progress monitoring, and personalized recommendations.",False,False,0,0.0,0.9755450265,1.0
14,I have not exercised in years and just finished cancer treatment. Where do I even start?,COMMITS,"The response provides specific exercise suggestions like walking, stretching, and bodyweight exercises to help the user start exercising.",True,True,0,0.0,0.0,1.0
15,I feel really stiff after my cancer treatment. Would stretching help?,COMMITS,"The response provides substantive information about the benefits of stretching, including relieving muscle tightness and improving range of motion.",False,True,0,0.0,0.9175402925,1.0
16,I just read that increasing my physical activity could significantly lower my cancer mortality risk. How can I safely incorporate more exercise into my routine?,COMMITS,The response provides guidance on safely incorporating exercise by suggesting setting realistic goals based on current activity levels.,True,False,0,0.0,0.0,1.0
17,What are some simple ways I can start moving more each day without feeling overwhelmed?,COMMITS,"The response provides specific, actionable suggestions for incorporating more movement into daily life.",True,True,0,0.0,0.0,1.0
18,My doctor has never talked to me about diet or exercise. Is that normal?,COMMITS,The response provides substantive information about the importance of discussing lifestyle factors like diet and exercise in cancer care and suggests bringing up these topics with a doctor or dietitian.,True,True,1,1.2062726176115803,0.0,1.0
19,I am at a healthy weight. Is weight management still something I need to think about?,COMMITS,The response provides substantive information on why weight management is important for cancer survivors and offers guidance on maintaining a healthy weight through energy balance and sustainable habits.,True,True,0,0.0,0.0,1.0
20,"What are some simple ways I can set exercise goals that I can actually stick to, especially while managing my health?",COMMITS,"The response provides specific strategies for setting and sticking to exercise goals, such as starting small, being specific, and tracking progress.",False,True,0,0.0,0.9286176343,1.0
21,I am 72 and just finished cancer treatment. Is exercise still safe for me at my age?,COMMITS,The response provides substantive information about the safety and benefits of exercise for older cancer survivors.,False,True,1,1.9841269841269842,0.9122446758,1.0
22,Should I join a gym with a trainer or can I exercise at home on my own?,COMMITS,"The response provides substantive content by explaining the benefits of both gym and home exercise options, allowing the user to make an informed decision.",True,True,0,0.0,0.0,1.0
23,"I've heard about bone scans for cancer, but can you explain what they are and if they relate to my heart health or exercise routine?",COMMITS,The response explains what bone scans are and how they might indirectly relate to exercise and heart health.,True,True,1,1.0917030567685588,0.0,1.0
24,How can I encourage my child to eat more fruits and vegetables as part of a healthy diet?,COMMITS,"The response provides specific strategies for encouraging children to eat more fruits and vegetables, such as making it fun, involving them in cooking, and setting a routine.",False,False,0,0.0,0.9796062476,1.0
25,"Right after my diagnosis, should I be seeing a nutritionist?",COMMITS,The response provides substantive guidance on the benefits of consulting a nutritionist after diagnosis.,False,False,1,1.7889087656529514,0.9447266809,1.0
26,I sit at a desk all day for work. Does that put me at higher cancer risk even if I exercise after work?,COMMITS,The response provides substantive information about the risks of prolonged sitting and offers actionable advice on incorporating movement into the workday.,False,True,0,0.0,0.9175780037,1.0
27,My prostate cancer has spread to my bones. Is it safe for me to lift weights?,COMMITS,The response provides substantive guidance on the potential benefits of strength training and suggests starting with lighter weights and focusing on form.,True,True,1,1.1402508551881414,0.0,1.0
28,I had breast cancer. Is it safe to lift weights or will it cause lymphedema in my arm?,COMMITS,"The response provides substantive information about the safety and benefits of resistance training for breast cancer survivors, including recommendations on how to approach it safely.",True,True,1,1.050420168067227,0.0,1.0
29,Will lifting weights help with my depression since my cancer diagnosis?,COMMITS,"The response provides substantive information about the benefits of weight lifting for managing depression, including mood improvement and endorphin release.",False,True,0,0.0,0.9611841102,1.0
30,Is it useful for a health app to ask me to reflect on my progress?,COMMITS,"The response explains the benefits of reflecting on progress, such as reinforcing positive behaviors and enhancing self-awareness.",False,False,0,0.0,0.9610435385,1.0
31,Is it safe for me to exercise during or after cancer treatment?,COMMITS,The response provides substantive information about the safety and benefits of exercise during and after cancer treatment.,False,True,1,1.5015015015015014,0.9488235124,1.0
32,"Does the benefit of exercise for cancer risk apply no matter my age, race, or weight?",COMMITS,The response provides substantive information about the benefits of exercise across different demographics and suggests that exercise can be tailored to individual needs.,False,True,0,0.0,0.9461450933,1.0
33,I get so tired after treatment. Will exercising make my fatigue worse or better?,COMMITS,The response provides substantive information about how exercise can help reduce cancer-related fatigue and offers guidance on starting with gentle activities.,True,True,0,0.0,0.0,1.0
34,I am worried that exercising will hurt my cancer treatment. Could working out interfere with my therapy?,COMMITS,"The response provides substantive information that exercise is generally safe and beneficial during cancer treatment, while also advising consultation with a care team.",True,True,2,2.6143790849673203,0.0,1.0
35,I heard that exercise can actually help with treatment side effects. Is that true?,COMMITS,"The response provides specific information on how exercise can help manage treatment side effects, including improving quality of life and reducing fatigue.",False,True,0,0.0,0.8993395823,1.0
36,I have prostate cancer and had surgery. Can exercise help me recover?,COMMITS,"The response provides substantive information about the benefits of exercise for recovery after prostate cancer surgery, including specific types of exercises.",False,True,0,0.0,0.9503899593,1.0
37,I was just diagnosed with early-stage prostate cancer. Does that mean I need treatment right away?,COMMITS,The response explains that immediate treatment may not be necessary and describes the concept of active surveillance as a potential approach.,True,False,2,2.73224043715847,0.0,1.0
38,Should I drink alcohol at all as a cancer survivor?,COMMITS,The response provides specific guidance on alcohol consumption limits and mentions research on alcohol's cancer risk.,True,True,1,1.5151515151515151,0.0,1.0
39,What types of physical activities should I focus on to improve my heart health after finishing cancer treatment?,COMMITS,The response provides specific types of physical activities to focus on for heart health improvement.,True,True,2,1.7985611510791366,0.0,1.0
40,I've heard that high-dose dietary supplements aren't recommended for cancer prevention. What are some dietary alternatives I should focus on for better health?,COMMITS,"The response provides specific dietary alternatives such as fruits, vegetables, whole grains, legumes, healthy fats, and lean proteins.",False,True,0,0.0,0.9016723074,1.0
41,I have numbness and tingling in my feet from chemo. Are there exercises I should avoid?,COMMITS,"The response provides specific guidance on types of exercises to avoid, such as high-impact activities and heavy lifting.",True,True,2,2.0768431983385254,0.0,1.0
42,I'm really concerned about how my prostate cancer treatments might affect my heart health. What can I do to stay healthy while managing my condition?,COMMITS,"The response provides specific actionable steps for maintaining heart health during prostate cancer treatment, such as staying active, eating a heart-healthy diet, and monitoring health metrics.",True,True,2,1.443001443001443,0.0,1.0
43,"What qualifications should the person helping me exercise have, given that I am an older cancer survivor?",COMMITS,"The response provides specific qualifications to look for in a fitness professional for older cancer survivors, such as certification in cancer exercise and experience with older adults.",False,False,0,0.0,0.9699936201,1.0
44,I have neuropathy from chemo and balance problems. What kinds of exercise are recommended for me?,COMMITS,"The response provides specific exercise recommendations like Tai Chi, chair yoga, and walking for someone with neuropathy and balance issues.",False,True,0,0.0,0.9457041926,1.0
45,What are some practical ways I can reduce my sitting time while going through treatment?,COMMITS,"The response provides specific strategies for reducing sitting time, such as setting a timer, using a standing desk, and incorporating movement into tasks.",True,True,0,0.0,0.0,1.0
46,How does exercise protect my heart as a cancer survivor?,COMMITS,"The response provides substantive information on how exercise benefits heart health, including strengthening the heart muscle, improving circulation, and managing cholesterol levels.",False,True,0,0.0,0.9442508269,1.0
47,I'm curious about how exercise can help me recover during and after my cancer treatment. Are there specific types of exercises that are better for different cancer types?,COMMITS,"The response provides specific types of exercises beneficial for cancer survivors, such as aerobic exercise, strength training, and flexibility activities.",True,True,2,1.3071895424836601,0.0,1.0
48,I'm curious about how my BMI affects my heart health after cancer treatment. Is it more important than other factors like my age or whether I smoke?,COMMITS,"The response provides substantive information about the role of BMI and other factors like age, smoking, and physical activity in heart health after cancer treatment.",True,True,0,0.0,0.0,1.0
49,My memory has not been the same since chemotherapy. How should my exercise program account for this?,COMMITS,The response provides specific strategies for adapting an exercise program to accommodate memory changes after chemotherapy.,False,False,0,0.0,0.9085134771,1.0
50,What are some fiber-rich plant foods I can include in my diet to support my heart health?,COMMITS,The response provides a list of specific fiber-rich plant foods and explains their benefits for heart health.,False,True,0,0.0,0.9879184541,1.0
51,I'm worried about how a biopsy might affect my overall health and recovery. Can you help me understand what to expect in terms of sedation and any impacts on my well-being?,COMMITS,"The response provides substantive information about the safety of biopsies, potential risks, effects of sedation, and typical recovery expectations.",True,False,1,1.0384215991692627,0.0,1.0
52,I have prostate cancer and my doctor mentioned heart health. Why does my cancer affect my heart?,COMMITS,"The response explains how prostate cancer treatments like ADT can affect heart health by causing weight gain, cholesterol changes, and increased blood pressure.",False,False,1,1.1325028312570782,0.9379610197,1.0
53,I'm curious about how moderate-intensity activities stack up against vigorous-intensity activities when it comes to keeping my heart healthy. Can you help me understand the differences?,COMMITS,"The response provides a detailed explanation of the differences between moderate and vigorous-intensity activities, including examples, MET values, and recommended weekly durations for heart health.",False,False,0,0.0,0.9268101508,1.0
54,I've heard that exercise can really help cancer survivors. Can you explain how it improves physical functioning and overall quality of life?,COMMITS,"The response provides specific ways exercise benefits cancer survivors, including improved physical functioning, enhanced quality of life, better sleep, reduced symptoms, and social connections.",False,True,0,0.0,0.9346695582,1.0
55,How does a health app track things like sleep and physical activity goals?,COMMITS,"The response explains how health apps track sleep and physical activity using user input and sensor data, providing a substantive answer to the question.",False,True,0,0.0,0.9227633292,1.0
56,"I've been trying to reduce my screen time, but I'm not sure how to increase my physical activity levels. What are some effective ways I can do this?",COMMITS,"The response provides specific strategies for increasing physical activity, such as walking, incorporating movement into daily routines, setting a step goal, joining a class, and trying short workouts at home.",False,True,0,0.0,0.8962411423,1.0
57,What kinds of exercise are best for cancer survivors — cardio or weights?,COMMITS,The response provides substantive information about the benefits of both cardio and strength training for cancer survivors.,True,True,2,2.157497303128371,0.0,1.0
58,Are the physical activity recommendations for cancer survivors different from the general adult guidelines?,COMMITS,"The response provides specific considerations for cancer survivors, such as avoiding inactivity and adapting exercise programs based on individual health status and treatment side effects.",False,False,2,2.0100502512562812,0.9873449409,1.0
59,I have prostate cancer and am on hormone therapy. Will exercise help my body composition?,COMMITS,"The response provides substantive information about the benefits of exercise on body composition during hormone therapy, including specific types of exercise like resistance training.",False,True,2,2.4154589371980677,0.9434996712,1.0
