feature,population_positive,population_negative,n_positive,n_negative,baseline_zero_mean,baseline_nonzero_mean,AUC,separation,p,p_bonferroni,p_benjamini_hochberg,n_tests,reprobe_flagged_1plus_of3_mean,reprobe_unflagged_0of3_mean
contrast_per_1k,baseline_zero,baseline_nonzero,56,107,1.0588567907895772,0.3266435418424929,0.7636014686248331,0.26360146862483314,1.1109027500699034e-09,2.1107152251328166e-08,2.1107152251328166e-08,19,,
empathy_per_1k,baseline_zero,baseline_nonzero,56,107,0.5248901812998198,0.09166475599089875,0.6714786381842457,0.1714786381842457,1.5986612050506896e-07,3.0374562895963102e-06,1.5187281447981551e-06,19,,
opens_with_empathy,baseline_zero,baseline_nonzero,56,107,0.39285714285714285,0.07476635514018691,0.6590453938584779,0.15904539385847793,7.091516855037144e-07,1.3473882024570573e-05,4.491294008190191e-06,19,,
conditional_per_1k,baseline_zero,baseline_nonzero,56,107,2.0143671631341045,1.3504407505439833,0.6456108144192256,0.14561081441922563,0.0022052147394095345,0.04189908004878116,0.01047477001219529,19,,
n_digits_per_1k,baseline_zero,baseline_nonzero,56,107,2.2909962584434527,3.4766265892150017,0.3861815754339119,0.1138184245660881,0.012903119788433177,0.24515927598023038,0.030644909497528797,19,,
has_bold_headers,baseline_zero,baseline_nonzero,56,107,1.375,2.5046728971962615,0.3873497997329773,0.11265020026702272,0.009091181682256049,0.17273245196286494,0.027702726121173325,19,,
n_questions_in_body,baseline_zero,baseline_nonzero,56,107,0.9464285714285714,0.7383177570093458,0.6066421895861148,0.10664218958611482,0.004760404042778763,0.0904476768127965,0.0180895353625593,19,,
has_numbered_list,baseline_zero,baseline_nonzero,56,107,0.26785714285714285,0.4766355140186916,0.39561081441922563,0.10438918558077437,0.010206267518327015,0.19391908284821327,0.027702726121173325,19,,
mean_sentence_len,baseline_zero,baseline_nonzero,56,107,106.49686493915748,98.15233596886485,0.5970460614152203,0.09704606141522032,0.04232580748200806,0.8041903421581531,0.07310821292346846,19,,
referral_per_1k,baseline_zero,baseline_nonzero,56,107,1.127755990707227,0.62728815904018,0.5881174899866488,0.08811748998664881,0.03302478676893382,0.6274709486097426,0.06274709486097427,19,,
second_person_per_1k,baseline_zero,baseline_nonzero,56,107,8.904129550323962,7.952424554728673,0.5856141522029372,0.08561415220293722,0.07330521873035259,1.0,0.11606659632305827,19,,
importance_frame_per_1k,baseline_zero,baseline_nonzero,56,107,0.5141220866784951,0.30519001719688105,0.5840287049399199,0.08402870493991987,0.02451989086525714,0.4658779264398856,0.051764214048876184,19,,
hedge_per_1k,baseline_zero,baseline_nonzero,56,107,6.607823519212963,5.886992971923648,0.5828604806408545,0.0828604806408545,0.08304722249323149,1.0,0.12137670979779987,19,,
modal_ratio,baseline_zero,baseline_nonzero,56,107,0.04197700759913187,0.03781305409753184,0.569843124165554,0.06984312416555405,0.1440915336808187,1.0,0.19118098345303652,19,,
len_chars,baseline_zero,baseline_nonzero,56,107,926.375,1029.4392523364486,0.43132510013351133,0.06867489986648867,0.15093235535766042,1.0,0.19118098345303652,19,,
n_sentences,baseline_zero,baseline_nonzero,56,107,9.428571428571429,11.448598130841122,0.433411214953271,0.066588785046729,0.1617002969646083,1.0,0.19201910264547237,19,,
n_exclamations,baseline_zero,baseline_nonzero,56,107,0.5714285714285714,0.7009345794392523,0.4539385847797063,0.04606141522029372,0.2903609889785732,1.0,0.3245211053289936,19,,
first_sent_len,baseline_zero,baseline_nonzero,56,107,102.07142857142857,93.20560747663552,0.5354639519359146,0.03546395193591456,0.458684352055023,1.0,0.4841668160580799,19,,
personalization_per_1k,baseline_zero,baseline_nonzero,56,107,0.6177904767365444,0.6549366913449414,0.4929906542056075,0.007009345794392496,0.8686584362446634,1.0,0.8686584362446633,19,,
contrast_per_1k,reprobe_flagged_1plus_of3,reprobe_unflagged_0of3,58,105,,,0.7273399014778326,0.22733990147783256,1.1768906094347511e-07,2.236092157926027e-06,1.1180460789630136e-06,19,0.9936546981709067,0.3487130168328616
empathy_per_1k,reprobe_flagged_1plus_of3,reprobe_unflagged_0of3,58,105,,,0.6798029556650246,0.17980295566502458,3.022093026032076e-08,5.741976749460945e-07,5.741976749460945e-07,19,0.5388402070977891,0.07570711459185056
opens_with_empathy,reprobe_flagged_1plus_of3,reprobe_unflagged_0of3,58,105,,,0.6649425287356322,0.1649425287356322,2.1632835422441814e-07,4.1102387302639445e-06,1.3700795767546482e-06,19,0.39655172413793105,0.06666666666666667
has_bold_headers,reprobe_flagged_1plus_of3,reprobe_unflagged_0of3,58,105,,,0.3500821018062397,0.14991789819376028,0.00046429351925934614,0.008821576865927577,0.0018940239480655548,19,1.1551724137931034,2.6476190476190475
n_digits_per_1k,reprobe_flagged_1plus_of3,reprobe_unflagged_0of3,58,105,,,0.3532019704433498,0.14679802955665022,0.00122252461033001,0.02322796759627019,0.003574977775977969,19,1.9530076093996716,3.685908515939596
has_numbered_list,reprobe_flagged_1plus_of3,reprobe_unflagged_0of3,58,105,,,0.359688013136289,0.140311986863711,0.0004984273547540934,0.009470119740327774,0.0018940239480655548,19,0.22413793103448276,0.5047619047619047
conditional_per_1k,reprobe_flagged_1plus_of3,reprobe_unflagged_0of3,58,105,,,0.6369458128078818,0.13694581280788176,0.0037041501686307593,0.07037885320398443,0.008797356650498054,19,1.9785279004547265,1.35759145921278
mean_sentence_len,reprobe_flagged_1plus_of3,reprobe_unflagged_0of3,58,105,,,0.6298850574712643,0.12988505747126433,0.0061423654398012565,0.11670494335622388,0.011670494335622388,19,107.96466256303984,97.18260911052424
n_questions_in_body,reprobe_flagged_1plus_of3,reprobe_unflagged_0of3,58,105,,,0.6203612479474548,0.12036124794745484,0.0013170970753603043,0.025024844431845782,0.003574977775977969,19,0.9655172413793104,0.7238095238095238
second_person_per_1k,reprobe_flagged_1plus_of3,reprobe_unflagged_0of3,58,105,,,0.6094417077175698,0.10944170771756978,0.020969776125892334,0.3984257463919543,0.036220522399268575,19,9.060860794016346,7.847721486868207
len_chars,reprobe_flagged_1plus_of3,reprobe_unflagged_0of3,58,105,,,0.3947454844006568,0.10525451559934318,0.02640821204420812,0.5017560288399543,0.040675532241941544,19,903.6206896551724,1043.9714285714285
n_sentences,reprobe_flagged_1plus_of3,reprobe_unflagged_0of3,58,105,,,0.3962233169129721,0.10377668308702792,0.02783062732343369,0.5287819191452401,0.040675532241941544,19,8.982758620689655,11.733333333333333
importance_frame_per_1k,reprobe_flagged_1plus_of3,reprobe_unflagged_0of3,58,105,,,0.6035303776683087,0.10353037766830875,0.005207038920856144,0.09893373949626673,0.010992637721807414,19,0.5466589952861474,0.2832375901663377
hedge_per_1k,reprobe_flagged_1plus_of3,reprobe_unflagged_0of3,58,105,,,0.6023809523809524,0.10238095238095235,0.030812438628430333,0.5854363339401764,0.041816880995726884,19,6.6934796675984,5.825948041438561
modal_ratio,reprobe_flagged_1plus_of3,reprobe_unflagged_0of3,58,105,,,0.5866174055829229,0.08661740558292286,0.06773719154858526,1.0,0.085800442628208,19,0.04245204057394235,0.0374713415304632
referral_per_1k,reprobe_flagged_1plus_of3,reprobe_unflagged_0of3,58,105,,,0.5609195402298851,0.060919540229885105,0.1374901110031309,1.0,0.16326950681621796,19,1.0391091826483072,0.6667222466981156
n_exclamations,reprobe_flagged_1plus_of3,reprobe_unflagged_0of3,58,105,,,0.4522167487684729,0.0477832512315271,0.26877366082437515,1.0,0.30039409150959573,19,0.5689655172413793,0.7047619047619048
first_sent_len,reprobe_flagged_1plus_of3,reprobe_unflagged_0of3,58,105,,,0.5323481116584565,0.032348111658456524,0.4956890731758783,1.0,0.5232273550189827,19,102.10344827586206,93.01904761904763
personalization_per_1k,reprobe_flagged_1plus_of3,reprobe_unflagged_0of3,58,105,,,0.4827586206896552,0.017241379310344807,0.6795834808963575,1.0,0.6795834808963575,19,0.5964873568490773,0.667411675941988
